OA21CD,Pop_count
E00000358,11428.6
E00000360,11993.1
E00000361,10721.0
E00000362,9393.9
E00000363,14372.6
E00000364,8785.5
E00000365,10036.1
E00000366,9136.5
E00000367,10702.2
E00000368,2207.9
E00000369,11026.5
E00000370,10901.6
E00000371,9056.0
E00000372,13120.6
E00000373,5727.7
E00000374,10611.1
E00000375,12617.2
E00000376,6062.4
E00000377,11028.4
E00000378,3231.1
E00000379,1411.0
E00000380,9275.4
E00000381,11696.4
E00000382,13260.9
E00000383,9020.2
E00000384,12203.4
E00000385,10855.3
E00000386,7179.9
E00000387,10418.6
E00000388,14227.9
E00000389,9469.9
E00000390,12610.0
E00000391,11528.2
E00000392,11187.5
E00000393,12893.3
E00000394,8596.1
E00000395,10097.1
E00000396,10278.6
E00000397,8111.6
E00000398,11909.4
E00000399,8173.7
E00000400,10815.2
E00000401,7710.6
E00000402,11697.0
E00000403,11401.6
E00000404,11634.3
E00000405,17857.1
E00000406,10493.2
E00000407,9010.2
E00000408,3391.1
E00000409,1919.2
E00000410,11691.2
E00000411,10747.3
E00000412,9879.9
E00000413,10628.9
E00000414,11409.8
E00000415,11278.7
E00000416,13522.0
E00000417,12210.9
E00000418,11148.5
E00000419,12747.3
E00000420,7692.3
E00000421,6732.0
E00000422,13447.2
E00000423,11423.7
E00000424,9121.3
E00000425,12251.5
E00000426,12215.0
E00000427,12411.3
E00000428,13676.0
E00000429,10173.9
E00000430,11208.1
E00000431,1933.5
E00000432,14014.9
E00000433,10344.8
E00000434,227.4
E00000435,14233.6
E00000436,15201.6
E00000437,11792.7
E00000438,14743.6
E00000439,6711.1
E00000440,9711.3
E00000441,10686.8
E00000442,11287.9
E00000443,12921.8
E00000444,8302.8
E00000445,9601.9
E00000446,12327.9
E00000447,14226.2
E00000448,9109.2
E00000449,10997.2
E00000450,4194.0
E00000451,9372.4
E00000453,4100.3
E00000454,11730.8
E00000455,4884.9
E00000456,5089.8
E00000457,2470.3
E00000461,12094.6
E00000462,3280.3
E00000463,1759.0
E00000464,331.1
E00000465,10291.3
E00000466,10060.1
E00000467,9601.0
E00000468,11522.4
E00000469,4176.2
E00000470,2610.4
E00000471,10063.7
E00000472,4069.4
E00000475,12960.3
E00000476,16311.1
E00000477,14173.9
E00000478,2768.0
E00000479,24147.7
E00000480,13222.2
E00000481,11725.2
E00000482,13412.2
E00000483,11501.4
E00000484,8951.8
E00000485,10137.9
E00000487,11693.5
E00000488,11590.9
E00000489,12901.6
E00000490,11084.7
E00000491,11127.6
E00000492,11063.8
E00000493,12540.2
E00000494,9722.2
E00000495,9631.6
E00000496,11221.1
E00000497,10716.4
E00000498,9352.9
E00000499,10189.7
E00000500,5670.9
E00000501,10940.2
E00000502,5118.7
E00000503,11224.5
E00000504,7972.6
E00000505,10075.6
E00000506,10151.2
E00000507,9280.7
E00000508,4651.8
E00000509,10000.0
E00000510,11250.0
E00000511,20429.2
E00000512,8139.0
E00000513,4973.9
E00000514,6273.8
E00000515,12363.6
E00000516,13516.0
E00000517,10801.3
E00000518,5851.7
E00000519,3485.0
E00000520,13315.5
E00000521,12475.9
E00000522,16298.7
E00000523,5870.2
E00000524,13382.4
E00000525,13567.4
E00000526,7464.8
E00000527,5447.4
E00000528,13679.7
E00000529,8841.2
E00000530,8125.0
E00000531,13463.2
E00000532,1440.3
E00000533,4238.0
E00000534,5289.9
E00000535,6634.4
E00000536,6544.5
E00000537,1577.3
E00000538,1379.8
E00000539,6621.6
E00000540,3600.9
E00000541,9244.8
E00000542,10153.8
E00000543,14101.7
E00000544,13863.6
E00000545,11666.7
E00000547,6980.5
E00000548,15443.0
E00000549,2144.5
E00000550,13763.1
E00000551,4386.0
E00000552,13216.6
E00000553,11131.2
E00000554,12866.4
E00000555,13950.6
E00000556,5005.8
E00000557,13551.0
E00000558,5364.7
E00000559,11242.8
E00000560,8726.4
E00000561,11333.3
E00000562,10767.5
E00000563,12454.5
E00000564,4592.4
E00000565,5345.9
E00000566,12948.0
E00000567,5085.6
E00000568,12428.6
E00000569,11391.3
E00000570,9050.3
E00000571,14600.0
E00000572,12335.3
E00000573,13123.4
E00000574,14691.9
E00000575,11598.8
E00000576,3249.8
E00000577,9646.6
E00000578,7150.5
